genome_pair	num_prot1	num_prot2	num_shared	prop1	prop2	av_prop
GCA.000590475.1.ASM59047v1||GCA.000590475.1.ASM59047v1	4020	4020	4020	1.0	1.0	1.0
GCA.000590475.1.ASM59047v1||GCA.000017705.1.ASM1770v1	4020	5903	1703	0.423631840796	0.288497374217	0.356064607506
GCA.000590475.1.ASM59047v1||GCA.000761155.1.ASM76115v1	4020	3807	2388	0.594029850746	0.627265563436	0.610647707091
GCA.000590475.1.ASM59047v1||GCA.000203835.1.ASM20383v1	4020	7826	1157	0.287810945274	0.147840531561	0.217825738418
GCA.000590475.1.ASM59047v1||GCA.001913135.1.ASM191313v1	4020	4633	2526	0.628358208955	0.545219080509	0.586788644732
GCA.000590475.1.ASM59047v1||GCA.000818015.1.ASM81801v1	4020	3827	2806	0.698009950249	0.733211392736	0.715610671492
GCA.000590475.1.ASM59047v1||GCA.000219605.1.ASM21960v1	4020	4050	2994	0.744776119403	0.739259259259	0.742017689331
GCA.000590475.1.ASM59047v1||GCA.000397205.1.ASM39720v1	4020	5823	2706	0.673134328358	0.464708912931	0.568921620645
GCA.000590475.1.ASM59047v1||GCA.000213805.1.ASM21380v1	4020	4326	2724	0.677611940299	0.629680998613	0.653646469456
GCA.000590475.1.ASM59047v1||GCA.002196515.1.ASM219651v1	4020	3990	1573	0.391293532338	0.394235588972	0.392764560655
GCA.000590475.1.ASM59047v1||GCA.000237065.1.ASM23706v1	4020	5561	2789	0.693781094527	0.501528502068	0.597654798298
GCA.000590475.1.ASM59047v1||GCA.001558415.1.ASM155841v1	4020	4164	1819	0.452487562189	0.436839577329	0.444663569759
GCA.000590475.1.ASM59047v1||GCA.000763535.2.ASM76353v2	4020	4774	1764	0.438805970149	0.369501466276	0.404153718212
GCA.000590475.1.ASM59047v1||GCA.001534745.1.ASM153474v1	4020	3749	2297	0.571393034826	0.612696719125	0.592044876975
GCA.000590475.1.ASM59047v1||GCA.000354175.2.ASM35417v2	4020	4557	1789	0.445024875622	0.392582839587	0.418803857605
GCA.000017705.1.ASM1770v1||GCA.000017705.1.ASM1770v1	5903	5903	5903	1.0	1.0	1.0
GCA.000017705.1.ASM1770v1||GCA.000761155.1.ASM76115v1	5903	3807	1586	0.268676943927	0.416600998161	0.342638971044
GCA.000017705.1.ASM1770v1||GCA.000203835.1.ASM20383v1	5903	7826	1003	0.169913603253	0.128162535139	0.149038069196
GCA.000017705.1.ASM1770v1||GCA.001913135.1.ASM191313v1	5903	4633	1643	0.278333050991	0.354629829484	0.316481440238
GCA.000017705.1.ASM1770v1||GCA.000818015.1.ASM81801v1	5903	3827	1662	0.281551753346	0.434282727985	0.357917240666
GCA.000017705.1.ASM1770v1||GCA.000219605.1.ASM21960v1	5903	4050	1712	0.2900220227	0.422716049383	0.356369036042
GCA.000017705.1.ASM1770v1||GCA.000397205.1.ASM39720v1	5903	5823	1879	0.318312722345	0.322685900738	0.320499311542
GCA.000017705.1.ASM1770v1||GCA.000213805.1.ASM21380v1	5903	4326	1741	0.294934778926	0.402450300509	0.348692539717
GCA.000017705.1.ASM1770v1||GCA.002196515.1.ASM219651v1	5903	3990	2261	0.383025580213	0.566666666667	0.47484612344
GCA.000017705.1.ASM1770v1||GCA.000237065.1.ASM23706v1	5903	5561	1849	0.313230560732	0.332494155727	0.32286235823
GCA.000017705.1.ASM1770v1||GCA.001558415.1.ASM155841v1	5903	4164	2901	0.491445027952	0.696685878963	0.594065453457
GCA.000017705.1.ASM1770v1||GCA.000763535.2.ASM76353v2	5903	4774	3052	0.517025241403	0.639296187683	0.578160714543
GCA.000017705.1.ASM1770v1||GCA.001534745.1.ASM153474v1	5903	3749	1581	0.267829916991	0.421712456655	0.344771186823
GCA.000017705.1.ASM1770v1||GCA.000354175.2.ASM35417v2	5903	4557	3409	0.577502964594	0.748079877112	0.662791420853
GCA.000761155.1.ASM76115v1||GCA.000761155.1.ASM76115v1	3807	3807	3807	1.0	1.0	1.0
GCA.000761155.1.ASM76115v1||GCA.000203835.1.ASM20383v1	3807	7826	1118	0.293669556081	0.142857142857	0.218263349469
GCA.000761155.1.ASM76115v1||GCA.001913135.1.ASM191313v1	3807	4633	2611	0.685841870239	0.563565724153	0.624703797196
GCA.000761155.1.ASM76115v1||GCA.000818015.1.ASM81801v1	3807	3827	2152	0.565274494353	0.56232035537	0.563797424861
GCA.000761155.1.ASM76115v1||GCA.000219605.1.ASM21960v1	3807	4050	2250	0.591016548463	0.555555555556	0.573286052009
GCA.000761155.1.ASM76115v1||GCA.000397205.1.ASM39720v1	3807	5823	2863	0.752035723667	0.491670959986	0.621853341827
GCA.000761155.1.ASM76115v1||GCA.000213805.1.ASM21380v1	3807	4326	2605	0.68426582611	0.602172907998	0.643219367054
GCA.000761155.1.ASM76115v1||GCA.002196515.1.ASM219651v1	3807	3990	1483	0.389545573943	0.371679197995	0.380612385969
GCA.000761155.1.ASM76115v1||GCA.000237065.1.ASM23706v1	3807	5561	2910	0.764381402679	0.523287178565	0.643834290622
GCA.000761155.1.ASM76115v1||GCA.001558415.1.ASM155841v1	3807	4164	1631	0.428421329131	0.391690682037	0.410056005584
GCA.000761155.1.ASM76115v1||GCA.000763535.2.ASM76353v2	3807	4774	1623	0.426319936958	0.339966485128	0.383143211043
GCA.000761155.1.ASM76115v1||GCA.001534745.1.ASM153474v1	3807	3749	2654	0.697136853165	0.707922112563	0.702529482864
GCA.000761155.1.ASM76115v1||GCA.000354175.2.ASM35417v2	3807	4557	1634	0.429209351195	0.358569234145	0.39388929267
GCA.000203835.1.ASM20383v1||GCA.000203835.1.ASM20383v1	7826	7826	7826	1.0	1.0	1.0
